ejemplo;resolucion;cf_id;cf_notas;cp_posicion;int_1;int_2;int_3;int_4;int_5;int_6;marca_8_8;marca_5_5;marca_8_oculta;marca_5_oculta;marca_tr;marca_tr_compuesto;marca_7_compuesta;marca_saltos_dir;marca_amelodica;marca_demasiados_saltos;marca_6_paralelas;marca_3_paralelas;comentario;pagina
1;a;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;1;3;3;3;6;8;;;;;;;;1;;;1;1;Saltos misma dirección + 3 terceras seguidas;34
1;b;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;8;5;3;3;6;8;;;;;;;;;;;;;;34
1;c;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;8;6;3;3;6;8;;;;;;;;;;;;;;34
1;d;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;8;5;6;6;6;8;;;;;;;;;;;1;;3 sextas seguidas;34
1;e;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;1;6;6;6;3;1;;;;;;;;;;;1;;3 sextas seguidas;34
1;f;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;1;3;3;5;3;1;;;;;;;;;;;;1;3 terceras;34
1;g;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;1;5;3;3;3;1;;;;;;;;;;;;1;3 terceras seguidas;34
1;h;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;1;3;3;5;3;1;;;;;;;;;;;;;;34
1;i;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;8;6;3;6;6;8;;;;;;;;;;;;;;34
1;j;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;5;3;3;3;6;8;;;;;;;;;;;;1;3 terceras;34
1;k;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;3;8;5;3;6;8;;;;;;;;;;;;;;34
1;l;cf-ej1;C4,D4,F4,E4,D4,C4;arriba;3;3;6;6;6;8;;;;;;;;;;;1;1;2 terceras + 3 sextas;34
1;m;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;8;6;6;6;3;1;;;;;;1;;;;;1;;(tr) trítono compuesto + 3 sextas;34
1;n;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;8;6;3;5;3;1;;;;;;;;;;;;;;34
1;o;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;8;5;8;5;3;1;;;;;;1;;;;;;;(tr) trítono compuesto;34
1;p;cf-ej1;C4,D4,F4,E4,D4,C4;abajo;8;5;3;8;5;1;;;;;;;;;;;;;;34
